1CH 1:1	Adam, Seth, Enosh,
I saw your fathers as the first ripe in the fig tree at its first season;
but they came to Baal Peor, and consecrated themselves to the shameful thing,
and became abominable like that which they loved.
HOS 9:11	As for Ephraim, their glory will fly away like a bird.
There will be no birth, no one with child, and no conception.
HOS 9:12	Though they bring up their children,
yet I will bereave them, so that not a man shall be left.
Indeed, woe also to them when I depart from them!
HOS 9:13	I have seen Ephraim, like Tyre, planted in a pleasant place;
but Ephraim will bring out his children to the murderer.
HOS 9:14	Give them—Yahweh what will you give?
Give them a miscarrying womb and dry breasts.
HOS 9:15	“All their wickedness is in Gilgal;
for there I hated them.
Because of the wickedness of their deeds I will drive them out of my house!
I will love them no more.
All their princes are rebels.
HOS 9:16	Ephraim is struck.
Their root has dried up.
They will bear no fruit.
Even though they give birth, yet I will kill the beloved ones of their womb.”
HOS 9:17	My God will cast them away, because they did not listen to him;
and they will be wanderers among the nations.
HOS 10:1	Israel is a luxuriant vine that produces his fruit.
According to the abundance of his fruit he has multiplied his altars.
As their land has prospered, they have adorned their sacred stones.
HOS 10:2	Their heart is divided.
Now they will be found guilty.
He will demolish their altars.
He will destroy their sacred stones.
HOS 10:3	Surely now they will say, “We have no king; for we don’t fear Yahweh;
and the king, what can he do for us?”
HOS 10:4	They make promises, swearing falsely in making covenants.
Therefore judgment springs up like poisonous weeds in the furrows of the field.
HOS 10:5	The inhabitants of Samaria will be in terror for the calves of Beth Aven;
for its people will mourn over it,
Along with its priests who rejoiced over it,
for its glory, because it has departed from it.
HOS 10:6	It also will be carried to Assyria for a present to a great king.
Ephraim will receive shame,
and Israel will be ashamed of his own counsel.
HOS 10:7	Samaria and her king float away,
like a twig on the water.
HOS 10:8	The high places also of Aven, the sin of Israel, will be destroyed.
The thorn and the thistle will come up on their altars.
They will tell the mountains, “Cover us!” and the hills, “Fall on us!”
HOS 10:9	“Israel, you have sinned from the days of Gibeah.
There they remained.
The battle against the children of iniquity doesn’t overtake them in Gibeah.
HOS 10:10	When it is my desire, I will chastise them;
and the nations will be gathered against them,
when they are bound to their two transgressions.
HOS 10:11	Ephraim is a trained heifer that loves to thresh;
so I will put a yoke on her beautiful neck.
I will set a rider on Ephraim.
Judah will plow.
Jacob will break his clods.
HOS 10:12	Sow to yourselves in righteousness,
reap according to kindness.
Break up your fallow ground;
for it is time to seek Yahweh,
until he comes and rains righteousness on you.
HOS 10:13	You have plowed wickedness.
You have reaped iniquity.
You have eaten the fruit of lies,
for you trusted in your way, in the multitude of your mighty men.
HOS 10:14	Therefore a battle roar will arise among your people,
and all your fortresses will be destroyed,
as Shalman destroyed Beth Arbel in the day of battle.
The mother was dashed in pieces with her children.
HOS 10:15	So Bethel will do to you because of your great wickedness.
At daybreak the king of Israel will be destroyed.
HOS 11:1	“When Israel was a child, then I loved him,
and called my son out of Egypt.
HOS 11:2	They called to them, so they went from them.
They sacrificed to the Baals,
and burned incense to engraved images.
HOS 11:3	Yet I taught Ephraim to walk.
I took them by his arms;
but they didn’t know that I healed them.
HOS 11:4	I drew them with cords of a man, with ties of love;
and I was to them like those who lift up the yoke on their necks;
and I bent down to him and I fed him.
HOS 11:5	“They won’t return into the land of Egypt;
but the Assyrian will be their king,
because they refused to repent.
HOS 11:6	The sword will fall on their cities,
and will destroy the bars of their gates,
and will put an end to their plans.
HOS 11:7	My people are determined to turn from me.
Though they call to the Most High,
he certainly won’t exalt them.
HOS 11:8	“How can I give you up, Ephraim?
How can I hand you over, Israel?
How can I make you like Admah?
How can I make you like Zeboiim?
My heart is turned within me,
my compassion is aroused.
HOS 11:9	I will not execute the fierceness of my anger.
I will not return to destroy Ephraim:
for I am God, and not man; the Holy One among you;
and I will not come in wrath.
HOS 11:10	They will walk after Yahweh,
who will roar like a lion;
for he will roar, and the children will come trembling from the west.
HOS 11:11	They will come trembling like a bird out of Egypt,
and like a dove out of the land of Assyria;
and I will settle them in their houses,” says Yahweh.
HOS 11:12	Ephraim surrounds me with falsehood,
and the house of Israel with deceit.
Judah still strays from God,
and is unfaithful to the Holy One.
HOS 12:1	Ephraim feeds on wind,
and chases the east wind.
He continually multiplies lies and desolation.
They make a covenant with Assyria,
and oil is carried into Egypt.
HOS 12:2	Yahweh also has a controversy with Judah,
and will punish Jacob according to his ways;
according to his deeds he will repay him.
HOS 12:3	In the womb he took his brother by the heel;
and in his manhood he contended with God.
HOS 12:4	Indeed, he struggled with the angel, and prevailed;
he wept, and made supplication to him.
He found him at Bethel, and there he spoke with us,
HOS 12:5	even Yahweh, the God of Armies;
Yahweh is his name of renown!
HOS 12:6	Therefore turn to your God.
Keep kindness and justice,
and wait continually for your God.
HOS 12:7	A merchant has dishonest scales in his hand.
He loves to defraud.
HOS 12:8	Ephraim said, “Surely I have become rich,
I have found myself wealth.
In all my wealth they won’t find in me any iniquity that is sin.”
HOS 12:9	“But I am Yahweh your God from the land of Egypt.
I will yet again make you dwell in tents,
as in the days of the solemn feast.
HOS 12:10	I have also spoken to the prophets,
and I have multiplied visions;
and by the ministry of the prophets I have used parables.
HOS 12:11	If Gilead is wicked,
surely they are worthless.
In Gilgal they sacrifice bulls.
Indeed, their altars are like heaps in the furrows of the field.
HOS 12:12	Jacob fled into the country of Aram,
and Israel served to get a wife,
and for a wife he tended flocks and herds.
HOS 12:13	By a prophet Yahweh brought Israel up out of Egypt,
and by a prophet he was preserved.
HOS 12:14	Ephraim has bitterly provoked anger.
Therefore his blood will be left on him,
and his Lord will repay his contempt.
HOS 13:1	When Ephraim spoke, there was trembling.
He exalted himself in Israel,
but when he became guilty in Baal, he died.
HOS 13:2	Now they sin more and more,
and have made themselves molten images of their silver,
even idols according to their own understanding,
all of them the work of the craftsmen.
They say of them, ‘They offer human sacrifice and kiss the calves.’
HOS 13:3	Therefore they will be like the morning mist,
and like the dew that passes away early,
like the chaff that is driven with the whirlwind out of the threshing floor,
and like the smoke out of the chimney.
HOS 13:4	“Yet I am Yahweh your God from the land of Egypt;
and you shall acknowledge no god but me,
and besides me there is no savior.
HOS 13:5	I knew you in the wilderness,
in the land of great drought.
HOS 13:6	According to their pasture, so were they filled;
they were filled, and their heart was exalted.
Therefore they have forgotten me.
HOS 13:7	Therefore I am like a lion to them.
Like a leopard, I will lurk by the path.
HOS 13:8	I will meet them like a bear that is bereaved of her cubs,
and will tear the covering of their heart.
There I will devour them like a lioness.
The wild animal will tear them.
HOS 13:9	You are destroyed, Israel, because you are against me,
against your help.
HOS 13:10	Where is your king now, that he may save you in all your cities?
And your judges, of whom you said, ‘Give me a king and princes?’
HOS 13:11	I have given you a king in my anger,
and have taken him away in my wrath.
HOS 13:12	The guilt of Ephraim is stored up.
His sin is stored up.
HOS 13:13	The sorrows of a travailing woman will come on him.
He is an unwise son;
for when it is time, he doesn’t come to the opening of the womb.
HOS 13:14	I will ransom them from the power of Sheol.
I will redeem them from death!
Death, where are your plagues?
Sheol, where is your destruction?
“Compassion will be hidden from my eyes.
HOS 13:15	Though he is fruitful among his brothers, an east wind will come,
the breath of Yahweh coming up from the wilderness;
and his spring will become dry,
and his fountain will be dried up.
He will plunder the storehouse of treasure.
HOS 13:16	Samaria will bear her guilt;
for she has rebelled against her God.
They will fall by the sword.
Their infants will be dashed in pieces,
and their pregnant women will be ripped open.”
ISA 1:1	The vision of Isaiah the son of Amoz, which he saw concerning Judah and Jerusalem, in the days of Uzziah, Jotham, Ahaz, and Hezekiah, kings of Judah.
ISA 1:2	Hear, heavens,
and listen, earth; for Yahweh has spoken:
“I have nourished and brought up children,
and they have rebelled against me.
ISA 1:3	The ox knows his owner,
and the donkey his master’s crib;
but Israel doesn’t know,
my people don’t consider.”
ISA 1:4	Ah sinful nation,
a people loaded with iniquity,
offspring of evildoers,
children who deal corruptly!
They have forsaken Yahweh.
They have despised the Holy One of Israel.
They are estranged and backward.
ISA 1:5	Why should you be beaten more,
that you revolt more and more?
The whole head is sick,
and the whole heart faint.
ISA 1:6	From the sole of the foot even to the head there is no soundness in it:
wounds, welts, and open sores.
They haven’t been closed, neither bandaged, neither soothed with oil.
ISA 1:7	Your country is desolate.
Your cities are burned with fire.
Strangers devour your land in your presence,
and it is desolate,
as overthrown by strangers.
ISA 1:8	The daughter of Zion is left like a shelter in a vineyard,
like a hut in a field of melons,
like a besieged city.
ISA 1:9	Unless Yahweh of Armies had left to us a very small remnant,
we would have been as Sodom;
we would have been like Gomorrah.
ISA 1:10	Hear Yahweh’s word, you rulers of Sodom!
Listen to the law of our God, you people of Gomorrah!
ISA 1:11	“What are the multitude of your sacrifices to me?”, says Yahweh.
“I have had enough of the burnt offerings of rams,
and the fat of fed animals.
I don’t delight in the blood of bulls,
or of lambs,
or of male goats.
ISA 1:12	When you come to appear before me,
who has required this at your hand, to trample my courts?
ISA 1:13	Bring no more vain offerings.
Incense is an abomination to me;
new moons, Sabbaths, and convocations:
I can’t stand evil assemblies.
ISA 1:14	My soul hates your New Moons and your appointed feasts.
They are a burden to me.
I am weary of bearing them.
ISA 1:15	When you spread out your hands, I will hide my eyes from you.
Yes, when you make many prayers, I will not hear.
Your hands are full of blood.
ISA 1:16	Wash yourselves, make yourself clean.
Put away the evil of your doings from before my eyes.
Cease to do evil.
ISA 1:17	Learn to do well.
Seek justice.
Relieve the oppressed.
Judge the fatherless.
Plead for the widow.”
ISA 1:18	“Come now, and let us reason together,” says Yahweh:
“Though your sins be as scarlet, they shall be as white as snow.
Though they be red like crimson, they shall be as wool.
ISA 1:19	If you are willing and obedient,
you shall eat the good of the land;
ISA 1:20	but if you refuse and rebel, you shall be devoured with the sword;
for the mouth of Yahweh has spoken it.”
ISA 1:21	How the faithful city has become a prostitute!
She was full of justice; righteousness lodged in her,
but now murderers.
ISA 1:22	Your silver has become dross,
your wine mixed with water.
ISA 1:23	Your princes are rebellious, and companions of thieves.
Everyone loves bribes, and follows after rewards.
They don’t judge the fatherless,
neither does the cause of the widow come to them.
ISA 1:24	Therefore the Lord, Yahweh of Armies,
the Mighty One of Israel, says:
“Ah, I will get relief from my adversaries,
and avenge myself on my enemies;
ISA 1:25	and I will turn my hand on you,
thoroughly purge away your dross,
and will take away all your tin.
ISA 1:26	I will restore your judges as at the first,
and your counselors as at the beginning.
Afterward you shall be called ‘The city of righteousness,
a faithful town.’
ISA 1:27	Zion shall be redeemed with justice,
and her converts with righteousness.
ISA 1:28	But the destruction of transgressors and sinners shall be together,
and those who forsake Yahweh shall be consumed.
ISA 1:29	For they shall be ashamed of the oaks which you have desired,
and you shall be confounded for the gardens that you have chosen.
ISA 1:30	For you shall be as an oak whose leaf fades,
and as a garden that has no water.
ISA 1:31	The strong will be like tinder,
and his work like a spark.
They will both burn together,
and no one will quench them.”
ISA 2:1	This is what Isaiah the son of Amoz saw concerning Judah and Jerusalem.
ISA 2:2	It shall happen in the latter days, that the mountain of Yahweh’s house shall be established on the top of the mountains,
and shall be raised above the hills;
and all nations shall flow to it.
ISA 2:3	Many peoples shall go and say,
“Come, let’s go up to the mountain of Yahweh,
to the house of the God of Jacob;
and he will teach us of his ways,
and we will walk in his paths.”
For out of Zion the law shall go out,
and Yahweh’s word from Jerusalem.
ISA 2:4	He will judge between the nations,
and will decide concerning many peoples;
and they shall beat their swords into plowshares,
and their spears into pruning hooks.
Nation shall not lift up sword against nation,
neither shall they learn war any more.
ISA 2:5	House of Jacob, come, and let us walk in the light of Yahweh.
ISA 2:6	For you have forsaken your people, the house of Jacob,
because they are filled from the east,
with those who practice divination like the Philistines,
and they clasp hands with the children of foreigners.
ISA 2:7	Their land is full of silver and gold,
neither is there any end of their treasures.
Their land also is full of horses,
neither is there any end of their chariots.
ISA 2:8	Their land also is full of idols.
They worship the work of their own hands,
that which their own fingers have made.
ISA 2:9	Man is brought low,
and mankind is humbled;
therefore don’t forgive them.
ISA 2:10	Enter into the rock,
and hide in the dust,
from before the terror of Yahweh,
and from the glory of his majesty.
ISA 2:11	The lofty looks of man will be brought low,
the haughtiness of men will be bowed down,
and Yahweh alone will be exalted in that day.
ISA 2:12	For there will be a day of Yahweh of Armies for all that is proud and haughty,
and for all that is lifted up;
and it shall be brought low:
ISA 2:13	For all the cedars of Lebanon, that are high and lifted up,
for all the oaks of Bashan,
ISA 2:14	For all the high mountains,
for all the hills that are lifted up,
ISA 2:15	For every lofty tower,
for every fortified wall,
ISA 2:16	For all the ships of Tarshish,
and for all pleasant imagery.
ISA 2:17	The loftiness of man shall be bowed down,
and the haughtiness of men shall be brought low;
and Yahweh alone shall be exalted in that day.
ISA 2:18	The idols shall utterly pass away.
ISA 2:19	Men shall go into the caves of the rocks,
and into the holes of the earth,
from before the terror of Yahweh,
and from the glory of his majesty,
when he arises to shake the earth mightily.
ISA 2:20	In that day, men shall cast away their idols of silver,
and their idols of gold,
which have been made for themselves to worship,
to the moles and to the bats;
ISA 2:21	To go into the caverns of the rocks,
and into the clefts of the ragged rocks,
from before the terror of Yahweh,
and from the glory of his majesty,
when he arises to shake the earth mightily.
ISA 2:22	Stop trusting in man, whose breath is in his nostrils;
for of what account is he?
ISA 3:1	For, behold, the Lord, Yahweh of Armies, takes away from Jerusalem and from Judah supply and support,
the whole supply of bread,
and the whole supply of water;
ISA 3:2	the mighty man,
the man of war,
the judge,
the prophet,
the diviner,
the elder,
ISA 3:3	the captain of fifty,
the honorable man,
the counselor,
the skilled craftsman,
and the clever enchanter.
ISA 3:4	I will give boys to be their princes,
and children shall rule over them.
ISA 3:5	The people will be oppressed,
everyone by another,
and everyone by his neighbor.
The child will behave himself proudly against the old man,
and the wicked against the honorable.
ISA 3:6	Indeed a man shall take hold of his brother in the house of his father, saying,
“You have clothing, you be our ruler,
and let this ruin be under your hand.”
ISA 3:7	In that day he will cry out, saying, “I will not be a healer;
for in my house is neither bread nor clothing.
You shall not make me ruler of the people.”
ISA 3:8	For Jerusalem is ruined, and Judah is fallen;
because their tongue and their doings are against Yahweh,
to provoke the eyes of his glory.
ISA 3:9	The look of their faces testify against them.
They parade their sin like Sodom.
They don’t hide it.
Woe to their soul!
For they have brought disaster upon themselves.
ISA 3:10	Tell the righteous “Good!”
For they shall eat the fruit of their deeds.
ISA 3:11	Woe to the wicked!
Disaster is upon them;
for the deeds of his hands will be paid back to him.
ISA 3:12	As for my people, children are their oppressors,
and women rule over them.
My people, those who lead you cause you to err,
and destroy the way of your paths.
ISA 3:13	Yahweh stands up to contend,
and stands to judge the peoples.
ISA 3:14	Yahweh will enter into judgment with the elders of his people,
and their leaders:
“It is you who have eaten up the vineyard.
The plunder of the poor is in your houses.
ISA 3:15	What do you mean that you crush my people,
and grind the face of the poor?” says the Lord, Yahweh of Armies.
ISA 3:16	Moreover Yahweh said, “Because the daughters of Zion are haughty,
and walk with outstretched necks and flirting eyes,
walking to trip as they go,
jingling ornaments on their feet;
ISA 3:17	therefore the Lord brings sores on the crown of the head of the women of Zion,
and Yahweh will make their scalps bald.”
ISA 3:18	In that day the Lord will take away the beauty of their anklets, the headbands, the crescent necklaces,
ISA 3:19	the earrings, the bracelets, the veils,
ISA 3:20	the headdresses, the ankle chains, the sashes, the perfume bottles, the charms,
ISA 3:21	the signet rings, the nose rings,
ISA 3:22	the fine robes, the capes, the cloaks, the purses,
ISA 3:23	the hand mirrors, the fine linen garments, the tiaras, and the shawls.
ISA 3:24	It shall happen that instead of sweet spices, there shall be rottenness;
instead of a belt, a rope;
instead of well set hair, baldness;
instead of a robe, a wearing of sackcloth;
and branding instead of beauty.
ISA 3:25	Your men shall fall by the sword,
and your mighty in the war.
ISA 3:26	Her gates shall lament and mourn;
and she shall be desolate and sit on the ground.
ISA 4:1	Seven women shall take hold of one man in that day, saying, “We will eat our own bread, and wear our own clothing: only let us be called by your name. Take away our reproach.”
ISA 4:2	In that day, Yahweh’s branch will be beautiful and glorious, and the fruit of the land will be the beauty and glory of the survivors of Israel.
ISA 4:3	It will happen, that he who is left in Zion, and he who remains in Jerusalem, shall be called holy, even everyone who is written among the living in Jerusalem;
ISA 4:4	when the Lord shall have washed away the filth of the daughters of Zion, and shall have purged the blood of Jerusalem from within it, by the spirit of justice, and by the spirit of burning.
ISA 4:5	Yahweh will create over the whole habitation of Mount Zion, and over her assemblies, a cloud and smoke by day, and the shining of a flaming fire by night; for over all the glory will be a canopy.
ISA 4:6	There will be a pavilion for a shade in the daytime from the heat, and for a refuge and for a shelter from storm and from rain.
ISA 6:1	In the year that king Uzziah died, I saw the Lord sitting on a throne, high and lifted up; and his train filled the temple.
ISA 6:2	Above him stood the seraphim. Each one had six wings. With two he covered his face. With two he covered his feet. With two he flew.
ISA 6:3	One called to another, and said,
“Holy, holy, holy, is Yahweh of Armies!
The whole earth is full of his glory!”
ISA 6:4	The foundations of the thresholds shook at the voice of him who called, and the house was filled with smoke.
ISA 6:5	Then I said, “Woe is me! For I am undone, because I am a man of unclean lips, and I dwell among a people of unclean lips: for my eyes have seen the King, Yahweh of Armies!”
ISA 6:6	Then one of the seraphim flew to me, having a live coal in his hand, which he had taken with the tongs from off the altar.
ISA 6:7	He touched my mouth with it, and said, “Behold, this has touched your lips; and your iniquity is taken away, and your sin forgiven.”
ISA 6:8	I heard the Lord’s voice, saying, “Whom shall I send, and who will go for us?”
Then I said, “Here I am. Send me!”
ISA 6:9	He said, “Go, and tell this people,
‘You hear indeed,
but don’t understand;
and you see indeed,
but don’t perceive.’
ISA 6:10	Make the heart of this people fat.
Make their ears heavy, and shut their eyes;
lest they see with their eyes,
and hear with their ears,
and understand with their heart,
and turn again, and be healed.”
ISA 6:11	Then I said, “Lord, how long?”
He answered,
“Until cities are waste without inhabitant,
and houses without man,
and the land becomes utterly waste,
ISA 6:12	And Yahweh has removed men far away,
and the forsaken places are many within the land.
ISA 6:13	If there is a tenth left in it,
that also will in turn be consumed:
as a terebinth, and as an oak, whose stock remains when they are felled;
so the holy seed is its stock.”
ISA 7:1	In the days of Ahaz the son of Jotham, the son of Uzziah, king of Judah, Rezin the king of Syria, and Pekah the son of Remaliah, king of Israel, went up to Jerusalem to war against it, but could not prevail against it.
ISA 7:2	David’s house was told, “Syria is allied with Ephraim.” His heart trembled, and the heart of his people, as the trees of the forest tremble with the wind.
ISA 7:3	Then Yahweh said to Isaiah, “Go out now to meet Ahaz, you, and Shearjashub your son, at the end of the conduit of the upper pool, on the highway of the fuller’s field.
ISA 7:4	Tell him, ‘Be careful, and keep calm. Don’t be afraid, neither let your heart be faint because of these two tails of smoking torches, for the fierce anger of Rezin and Syria, and of the son of Remaliah.
ISA 7:5	Because Syria, Ephraim, and the son of Remaliah, have plotted evil against you, saying,
ISA 7:6	“Let’s go up against Judah, and tear it apart, and let’s divide it among ourselves, and set up a king within it, even the son of Tabeel.”
ISA 7:7	This is what the Lord Yahweh says: “It shall not stand, neither shall it happen.”
ISA 7:8	For the head of Syria is Damascus, and the head of Damascus is Rezin; and within sixty-five years Ephraim shall be broken in pieces, so that it shall not be a people;
ISA 7:9	and the head of Ephraim is Samaria, and the head of Samaria is Remaliah’s son. If you will not believe, surely you shall not be established.’”
ISA 7:10	Yahweh spoke again to Ahaz, saying,
ISA 7:11	“Ask a sign of Yahweh your God; ask it either in the depth, or in the height above.”
ISA 7:12	But Ahaz said, “I will not ask, neither will I tempt Yahweh.”
ISA 7:13	He said, “Listen now, house of David. Is it not enough for you to try the patience of men, that you will try the patience of my God also?
ISA 7:14	Therefore the Lord himself will give you a sign. Behold, the virgin will conceive, and bear a son, and shall call his name Immanuel.
ISA 7:15	He shall eat butter and honey when he knows to refuse the evil, and choose the good.
ISA 7:16	For before the child knows to refuse the evil, and choose the good, the land whose two kings you abhor shall be forsaken.
ISA 7:17	Yahweh will bring on you, on your people, and on your father’s house, days that have not come, from the day that Ephraim departed from Judah; even the king of Assyria.
ISA 7:18	It will happen in that day that Yahweh will whistle for the fly that is in the uttermost part of the rivers of Egypt, and for the bee that is in the land of Assyria.
ISA 7:19	They shall come, and shall all rest in the desolate valleys, in the clefts of the rocks, on all thorn hedges, and on all pastures.
ISA 7:20	In that day the Lord will shave with a razor that is hired in the parts beyond the River, even with the king of Assyria, the head and the hair of the feet; and it shall also consume the beard.
ISA 7:21	It shall happen in that day that a man shall keep alive a young cow, and two sheep;
ISA 7:22	and it shall happen, that because of the abundance of milk which they shall give he shall eat butter: for everyone will eat butter and honey that is left within the land.
ISA 7:23	It will happen in that day that every place where there were a thousand vines at a thousand silver shekels, shall be for briers and thorns.
ISA 7:24	People will go there with arrows and with bow, because all the land will be briers and thorns.
ISA 7:25	All the hills that were cultivated with the hoe, you shall not come there for fear of briers and thorns; but it shall be for the sending out of oxen, and for the treading of sheep.”
ISA 8:1	Yahweh said to me, “Take a large tablet, and write on it with a man’s pen, ‘For Maher Shalal Hash Baz’;
ISA 8:2	and I will take for myself faithful witnesses to testify: Uriah the priest, and Zechariah the son of Jeberechiah.”
ISA 8:3	I went to the prophetess, and she conceived, and bore a son. Then Yahweh said to me, “Call his name ‘Maher Shalal Hash Baz.’
ISA 8:4	For before the child knows how to say, ‘My father,’ and, ‘My mother,’ the riches of Damascus and the plunder of Samaria will be carried away by the king of Assyria.”
ISA 8:5	Yahweh spoke to me yet again, saying,
ISA 8:6	“Because this people have refused the waters of Shiloah that go softly, and rejoice in Rezin and Remaliah’s son;
ISA 8:7	now therefore, behold, the Lord brings upon them the mighty flood waters of the River: the king of Assyria and all his glory. It will come up over all its channels, and go over all its banks.
ISA 8:8	It will sweep onward into Judah. It will overflow and pass through; it will reach even to the neck; and the stretching out of its wings will fill the width of your land, Immanuel.
ISA 8:9	Make an uproar, you peoples, and be broken in pieces! Listen, all you from far countries: dress for battle, and be shattered! Dress for battle, and be shattered!
ISA 8:10	Take counsel together, and it will be brought to nothing; speak the word, and it will not stand: for God is with us.”
ISA 8:11	For Yahweh spoke thus to me with a strong hand, and instructed me not to walk in the way of this people, saying,
ISA 8:12	“Don’t say, ‘A conspiracy!’ concerning all about which this people say, ‘A conspiracy!’ neither fear their threats, nor be terrorized.
ISA 8:13	Yahweh of Armies is who you must respect as holy. He is the one you must fear. He is the one you must dread.
ISA 8:14	He will be a sanctuary, but for both houses of Israel, he will be a trap and a snare for the inhabitants of Jerusalem.
ISA 8:15	Many will stumble over it, fall, be broken, be snared, and be captured.”
ISA 8:16	Wrap up the testimony. Seal the law among my disciples.
ISA 8:17	I will wait for Yahweh, who hides his face from the house of Jacob, and I will look for him.
ISA 8:18	Behold, I and the children whom Yahweh has given me are for signs and for wonders in Israel from Yahweh of Armies, who dwells in Mount Zion.
ISA 8:19	When they tell you, “Consult with those who have familiar spirits and with the wizards, who chirp and who mutter:” shouldn’t a people consult with their God? Should they consult the dead on behalf of the living?
ISA 8:20	Turn to the law and to the testimony! If they don’t speak according to this word, surely there is no morning for them.
ISA 8:21	They will pass through it, very distressed and hungry; and it will happen that when they are hungry, they will worry, and curse by their king and by their God. They will turn their faces upward,
ISA 8:22	and look to the earth, and see distress, darkness, and the gloom of anguish. They will be driven into thick darkness.
ISA 9:1	But there shall be no more gloom for her who was in anguish. In the former time, he brought into contempt the land of Zebulun and the land of Naphtali; but in the latter time he has made it glorious, by the way of the sea, beyond the Jordan, Galilee of the nations.
ISA 9:2	The people who walked in darkness have seen a great light.
Those who lived in the land of the shadow of death, on them the light has shined.
ISA 9:3	You have multiplied the nation.
You have increased their joy.
They rejoice before you according to the joy in harvest, as men rejoice when they divide the plunder.
ISA 9:4	For the yoke of his burden, and the staff of his shoulder, the rod of his oppressor, you have broken as in the day of Midian.
ISA 9:5	For all the armor of the armed man in the noisy battle, and the garments rolled in blood, will be for burning, fuel for the fire.
ISA 9:6	For to us a child is born. To us a son is given; and the government will be on his shoulders. His name will be called Wonderful, Counselor, Mighty God, Everlasting Father, Prince of Peace.
ISA 9:7	Of the increase of his government and of peace there shall be no end, on David’s throne, and on his kingdom, to establish it, and to uphold it with justice and with righteousness from that time on, even forever. The zeal of Yahweh of Armies will perform this.
ISA 9:8	The Lord sent a word into Jacob,
and it falls on Israel.
ISA 9:9	All the people will know,
including Ephraim and the inhabitants of Samaria, who say in pride and in arrogance of heart,
ISA 9:10	“The bricks have fallen,
but we will build with cut stone.
The sycamore fig trees have been cut down,
but we will put cedars in their place.”
ISA 9:11	Therefore Yahweh will set up on high against him the adversaries of Rezin,
and will stir up his enemies,
ISA 9:12	The Syrians in front,
and the Philistines behind;
and they will devour Israel with open mouth.
For all this, his anger is not turned away,
but his hand is stretched out still.
ISA 9:13	Yet the people have not turned to him who struck them,
neither have they sought Yahweh of Armies.
ISA 9:14	Therefore Yahweh will cut off from Israel head and tail,
palm branch and reed, in one day.
ISA 9:15	The elder and the honorable man is the head,
and the prophet who teaches lies is the tail.
ISA 9:16	For those who lead this people lead them astray;
and those who are led by them are destroyed.
ISA 9:17	Therefore the Lord will not rejoice over their young men,
neither will he have compassion on their fatherless and widows;
for everyone is profane and an evildoer,
and every mouth speaks folly.
For all this his anger is not turned away,
but his hand is stretched out still.
ISA 9:18	For wickedness burns like a fire.
It devours the briers and thorns;
yes, it kindles in the thickets of the forest,
and they roll upward in a column of smoke.
ISA 9:19	Through Yahweh of Armies’ wrath, the land is burned up;
and the people are the fuel for the fire.
No one spares his brother.
ISA 9:20	One will devour on the right hand, and be hungry;
and he will eat on the left hand, and they will not be satisfied.
Everyone will eat the flesh of his own arm:
ISA 9:21	Manasseh, Ephraim; and Ephraim, Manasseh; and they together shall be against Judah.
For all this his anger is not turned away,
but his hand is stretched out still.
ISA 10:1	Woe to those who decree unrighteous decrees, and to the writers who write oppressive decrees;
ISA 10:2	to deprive the needy from justice, and to rob the poor among my people of their rights, that widows may be their plunder, and that they may make the fatherless their prey!
ISA 10:3	What will you do in the day of visitation, and in the desolation which will come from afar? To whom will you flee for help? Where will you leave your wealth?
ISA 10:4	They will only bow down under the prisoners,
and will fall under the slain.
For all this his anger is not turned away,
but his hand is stretched out still.
ISA 10:5	Alas Assyrian, the rod of my anger, the staff in whose hand is my indignation!
ISA 10:6	I will send him against a profane nation, and against the people who anger me will I give him a command to take the plunder and to take the prey, and to tread them down like the mire of the streets.
ISA 10:7	However he doesn’t mean so, neither does his heart think so; but it is in his heart to destroy, and to cut off not a few nations.
ISA 10:8	For he says, “Aren’t all of my princes kings?
ISA 10:9	Isn’t Calno like Carchemish? Isn’t Hamath like Arpad? Isn’t Samaria like Damascus?”
ISA 10:10	As my hand has found the kingdoms of the idols, whose engraved images exceeded those of Jerusalem and of Samaria;
ISA 10:11	shall I not, as I have done to Samaria and her idols, so do to Jerusalem and her idols?
ISA 10:12	Therefore it will happen that, when the Lord has performed his whole work on Mount Zion and on Jerusalem, I will punish the fruit of the willful proud heart of the king of Assyria, and the insolence of his haughty looks.
ISA 10:13	For he has said, “By the strength of my hand I have done it, and by my wisdom; for I have understanding: and I have removed the boundaries of the peoples, and have robbed their treasures. Like a valiant man I have brought down their rulers.
ISA 10:14	My hand has found the riches of the peoples like a nest, and like one gathers eggs that are abandoned, I have gathered all the earth. There was no one who moved their wing, or that opened their mouth, or chirped.”
ISA 10:15	Should an ax brag against him who chops with it? Should a saw exalt itself above him who saws with it? As if a rod should lift those who lift it up, or as if a staff should lift up someone who is not wood.
ISA 10:16	Therefore the Lord, Yahweh of Armies, will send among his fat ones leanness; and under his glory a burning will be kindled like the burning of fire.
ISA 10:17	The light of Israel will be for a fire, and his Holy One for a flame; and it will burn and devour his thorns and his briers in one day.
ISA 10:18	He will consume the glory of his forest, and of his fruitful field, both soul and body. It will be as when a standard bearer faints.
ISA 10:19	The remnant of the trees of his forest shall be few, so that a child could write their number.
ISA 10:20	It will come to pass in that day that the remnant of Israel, and those who have escaped from the house of Jacob will no more again lean on him who struck them, but shall lean on Yahweh, the Holy One of Israel, in truth.
ISA 10:21	A remnant will return, even the remnant of Jacob, to the mighty God.
